Week,Week_Start,Week_End,Day_Monday,Day_Tuesday,Day_Wednesday,Day_Thursday,Day_Friday,Total_Organic_Sessions,Organic_Sessions_WoW_Change,Organic_Sessions_WoW_Percent,Backlink_Referral_Sessions,Backlink_Referral_Growth,Backlinks_Acquired_Week,Backlinks_Total_Cumulative,Top_Guide_1,Top_Guide_1_Sessions,Top_Guide_2,Top_Guide_2_Sessions,Top_Guide_3,Top_Guide_3_Sessions,Avg_Session_Duration_Seconds,Engagement_Rate_Percent,New_Users,Returning_Users,Contact_Form_Submissions,Demo_Booking_Clicks,PageSpeed_Score_Mobile,PageSpeed_Score_Desktop,LCP_Mobile_Seconds,INP_Mobile_Milliseconds,CLS_Mobile,Batch_Deployed,Batch_1_Outreach_Sent_Count,Batch_1_Response_Count,Batch_1_Response_Rate_Percent,Batch_2_Outreach_Sent_Count,Batch_2_Response_Count,Batch_2_Response_Rate_Percent,Batch_3_Outreach_Sent_Count,Batch_3_Response_Count,Batch_3_Response_Rate_Percent,Batch_4_Outreach_Sent_Count,Batch_4_Response_Count,Batch_4_Response_Rate_Percent,Outreach_Notes,Content_Published_This_Week,AI_Visibility_Mentions,Campaign_Health_Status,Key_Wins,Key_Blockers,Action_Items_For_Next_Week
Week 5,2025-04-28,2025-05-04,,,,,,,0,0,0%,0,0,0-2,0-2,Guide Name,0,Guide Name,0,Guide Name,0,0,0%,0,0,0,0,85,88,2.1,180,0.08,Batch 1,15,0,0%,0,0,0%,0,0,0%,0,0,0%,Batch 1 deployed - awaiting responses,0,0,Green,Launched Batch 1 outreach,None,None
Week 6,2025-05-05,2025-05-11,,,,,,,50-150,TBD,TBD,50-100,High,2-3,2-5,Guide Name,150-200,Guide Name,100-150,Guide Name,80-120,120,45%,100-200,50-100,2-5,0-2,85,88,2.1,180,0.08,Batch 1 Follow-up,15,3-5,20-30%,0,0,0%,0,0,0%,0,0,0%,First responses arriving - adjust messaging if needed,0,0,Green,2-3 backlinks acquired,Low response rate watch,Continue follow-ups
Week 7,2025-05-12,2025-05-18,,,,,,,100-250,TBD,TBD,100-200,High,3-4,5-9,Guide Name,200-300,Guide Name,150-250,Guide Name,120-180,125,50%,150-250,75-150,5-10,1-3,85,88,2.1,180,0.08,Batch 2,30,0,0%,15,2-4,15-25%,0,0,0%,0,0,0%,Deploy Batch 2 this week - guest posts in progress,1-2,0-2,Green,Content publishing begins - strong momentum,None,Monitor outreach response rate
Week 8,2025-05-19,2025-05-25,,,,,,,150-350,TBD,TBD,150-300,High,4-5,9-14,Guide Name,250-350,Guide Name,200-300,Guide Name,150-250,130,55%,200-300,100-150,8-15,2-4,85,88,2.1,180,0.08,Batch 3,30,5-8,17-27%,10,3-5,30-40%,10,1-2,10-20%,0,0,0%,Batch 3 deployed - strong initial response,2-3,2-5,Green,8-12 total backlinks - multiple content pieces published,None,Continue publishing strategy
Week 9,2025-05-26,2025-06-01,,,,,,,200-450,TBD,TBD,200-400,High,5-7,14-21,Guide Name,300-400,Guide Name,250-350,Guide Name,200-300,135,58%,250-350,125-175,12-20,3-5,85,88,2.1,180,0.08,Batch 4 + Follow-ups,0,0,0%,15,5-8,33-50%,10,3-5,30-50%,10,2-3,20-30%,Full outreach portfolio active - peak activity phase,2-3,5-10,Green,Strong backlink pipeline - AI visibility increasing,None,Monitor Core Web Vitals during traffic surge
Week 10,2025-06-02,2025-06-08,,,,,,,250-500,TBD,TBD,250-450,Medium,4-6,18-27,Guide Name,350-450,Guide Name,300-400,Guide Name,250-350,140,60%,300-400,150-200,15-25,4-7,85,88,2.1,180,0.08,Maintenance,0,0,0%,10,4-7,40-70%,8,2-4,25-50%,5,1-2,20-40%,Final follow-ups and guest post publishing,2-3,8-15,Green,18-27 total backlinks - guest posts converting to links,None,Prepare Month 2 scaling analysis
Week 11,2025-06-09,2025-06-15,,,,,,,300-600,TBD,TBD,300-500,Medium,3-5,21-32,Guide Name,400-500,Guide Name,350-450,Guide Name,300-400,145,62%,350-450,175-250,18-30,5-10,85,88,2.1,180,0.08,Maintenance,0,0,0%,5,2-4,40-80%,5,1-3,20-60%,3,0-1,0-33%,Scaling phase begins - double down on high-ROI content,2-3,12-20,Green,Approaching 30+ backlinks - strong organic growth,None,Begin Month 2 optimization planning
Week 12,2025-06-16,2025-06-22,,,,,,,350-700,TBD,TBD,350-600,Medium,2-4,23-36,Guide Name,450-600,Guide Name,400-500,Guide Name,350-450,150,65%,400-500,200-300,20-40,5-15,85,88,2.1,180,0.08,Measurement,0,0,0%,2,1-2,50-100%,2,0-1,0-50%,1,0,0%,Campaign completion - final metrics collection,1-2,15-25,Green,35-52 backlinks - 500-1,000 organic sessions gained,None,Execute Month 2 analysis and scaling decisions
Month 2,2025-06-23,2025-07-20,,,,,,,400-1000,TBD,TBD,400-800,Medium,10-15,33-51,Guide Name,500-700,Guide Name,450-600,Guide Name,400-550,160,70%,500-700,300-400,30-60,10-30,86,89,2.0,170,0.08,Scaling,0,0,0%,1,1,100%,1,0,0%,0,0,0%,Month 2: Optimization and scaling phase,5-8,30-50,Yellow,Organic traffic 500-1000 sessions/week - refining top guides,Possible slowdown in backlinks (expected),Double down on top 5 guides
Month 3,2025-07-21,2025-08-18,,,,,,,600-1500,TBD,TBD,600-1200,Medium,5-10,38-61,Guide Name,600-800,Guide Name,500-700,Guide Name,450-600,170,75%,600-800,400-500,50-100,15-50,87,90,1.9,160,0.07,Optimization,0,0,0%,0,0,0%,0,0,0%,0,0,0%,Month 3: AI visibility peak + sustained organic growth,8-12,50-100,Green,50+ backlinks - 2500-4000+ monthly sessions - AI impact measurable,None,Plan Month 4+ expansion strategy
